,freq
bread,10
deck,58
outdoors,6
crews,2
met,58
eve,11
worried,6
might,68
overly,12
officially,1
fav,3
charm,32
magical,5
kindest,3
exemplary,7
generally,31
represented,3
lounges,13
personnel,16
greet,17
encountered,44
choose,64
monthly,2
basis,6
planning,34
primary,5
ago,34
particularly,31
regret,14
thought,117
lomilomi,1
hawaii,4
sights,18
single,38
interacted,15
personable,18
professionalism,18
lackluster,5
changes,13
scratched,2
phones,9
power,17
stations,4
amenity,29
box,19
sticker,2
seal,2
pilfered,1
laundry,13
bag,32
looked,103
sparse,5
furnishing,3
struggling,4
financially,2
performed,6
seem,51
items,59
stealing,2
nov,2
whilst,11
oasis,14
calm,8
withs,1
desire,6
complement,3
start,70
finish,19
individuals,9
massive,14
full,147
energy,20
certainly,62
requirements,5
loung,1
nicer,45
yards,3
fireplace,19
100,54
tubs,3
shocking,1
considering,24
executive,118
inquired,6
learned,14
double,37
aspect,22
relation,3
important,30
consideration,10
ideal,35
minimum,8
required,12
characters,9
200,21
guess,39
stuff,35
augment,1
portfolio,1
situated,32
inflated,2
usgp,1
12,34
premium,15
internet,38
petty,4
closet,36
wide,15
toilet,66
paper,28
ply,2
crime,1
bill,53
carefully,3
rush,14
others,80
checking,97
pull,15
part,133
happily,10
asked,183
directions,19
point,96
explain,12
accompanied,5
guy,33
courtesy,5
fast,74
mostly,27
vibe,106
bike,23
office,41
catering,24
refreshments,6
fine,116
decade,3
date,50
delighted,8
functional,16
urge,2
chance,38
granted,10
satisfied,23
creative,13
vegetarian,9
memories,1
enduring,1
message,20
rare,12
themcreate,1
awake,12
30am,9
prepare,4
cheerful,7
0,2
dark,62
thirty,6
requests,41
potaoes,1
tomatoes,2
instead,77
consider,35
private,29
convo,1
peasy,1
snd,1
dt,5
niece,3
hs,1
graduation,9
crazy,33
enjoying,34
brother,3
structure,7
squirrels,1
begging,6
nuts,5
serves,20
4th,45
fl,2
electrical,9
wire,1
cuts,4
windows,50
3rd,19
thinking,19
life,55
older,28
married,10
attire,1
spoke,33
discreetly,3
taken,52
approx,1
sit,53
band,16
dancing,6
locationgreat,1
served,47
expert,4
mixologist,1
paul,1
dublinof,1
banter,1
allthe,1
expects,4
wall,47
bright,19
trying,74
compete,1
offering,23
requested,58
carries,4
culture,15
finishing,5
allow,20
trio,28
ballroom,12
anxious,2
final,18
redo,2
november,10
process,37
affected,2
brilliant,10
strangely,4
currently,7
builders,1
moving,17
1500,1
rest,69
mix,20
question,29
obtrusive,3
investment,3
king,97
laid,26
latest,6
spotlessly,6
sites,21
complaints,37
impressed,81
rave,2
knowing,13
feather,9
pillow,17
allergies,6
sweet,43
girl,19
association,4
scheduled,5
tree,3
accomplished,2
banquets,2
serviced,13
anticipated,8
pampering,3
noticeable,5
largest,7
colony,4
mexican,6
tailed,2
dot,1
feast,2
hundreds,9
tourists,4
flock,3
pun,2
inclusive,3
housing,1
18,14
spite,4
addressed,12
current,10
splendid,4
acceptance,1
bowls,7
sitter,3
walker,4
map,13
follow,26
suggested,13
cater,5
ave,27
cookies,19
girls,29
moscow,2
mules,2
aware,32
prior,35
